STATE,ZIPCODE,AGI_STUB,NUM_RETURNS,NUMDEP,TOTAL_INCOME
AL,00000,1,850050,548630,11187657
AL,00000,2,491370,375670,17836190
AL,00000,3,259540,186770,16117661
AL,00000,4,164840,133020,14422811
AL,00000,5,203650,185150,27664725
AL,00000,6,51270,50820,23073614
AL,35004,1,1510,660,19780
AL,35004,2,1280,800,48168
AL,35004,3,920,650,57275
AL,35004,4,630,530,55041
AL,35004,5,590,550,75493
AL,35004,6,50,30,16122
AL,35005,1,1360,900,18606
AL,35005,2,1030,780,37327
AL,35005,3,460,350,28046
AL,35005,4,220,160,19188
AL,35005,5,180,170,24501
AL,35005,6,0,0,0
AL,35006,1,460,190,5939
AL,35006,2,320,260,11707
AL,35006,3,190,160,11916
AL,35006,4,130,100,11169
AL,35006,5,150,140,19586
AL,35006,6,0,0,0
AL,35007,1,4180,2060,51015
AL,35007,2,2640,2030,98431
AL,35007,3,1870,1550,116842
AL,35007,4,1410,1390,123938
AL,35007,5,1700,1830,223459
AL,35007,6,220,250,72931
AL,35010,1,3850,2850,51289
AL,35010,2,2130,2220,74768
AL,35010,3,890,660,55002
AL,35010,4,560,470,48623
AL,35010,5,540,420,71001
AL,35010,6,150,100,65935
AL,35014,1,670,420,9147
AL,35014,2,480,440,17196
AL,35014,3,210,160,12645
AL,35014,4,150,110,12742
AL,35014,5,140,100,21444
AL,35014,6,0,0,0
AL,35016,1,2870,1360,35764
AL,35016,2,1640,1090,60298
AL,35016,3,1030,710,64118
AL,35016,4,670,540,57765
AL,35016,5,680,670,91004
AL,35016,6,100,110,32157
AL,35019,1,390,260,5285
AL,35019,2,260,220,9414
AL,35019,3,120,90,7428
AL,35019,4,70,70,5845
AL,35019,5,70,60,10135
AL,35019,6,0,0,0
AL,35020,1,6070,6090,83030
AL,35020,2,2540,2600,89470
AL,35020,3,710,570,43002
AL,35020,4,230,190,20023
AL,35020,5,170,120,24036
AL,35020,6,0,0,0
AL,35022,1,3240,1800,42667
AL,35022,2,2270,1470,84488
AL,35022,3,1520,990,94725
AL,35022,4,980,740,85791
AL,35022,5,1350,1150,179136
AL,35022,6,180,140,52343
AL,35023,1,3730,1970,50141
AL,35023,2,2830,1920,103640
AL,35023,3,1530,1130,94728
AL,35023,4,990,800,85325
AL,35023,5,960,850,122462
AL,35023,6,90,50,27703
AL,35031,1,1250,840,16424
AL,35031,2,820,830,29404
AL,35031,3,420,430,25994
AL,35031,4,200,210,17780
AL,35031,5,170,170,25809
AL,35031,6,0,0,0
AL,35033,1,500,240,6413
AL,35033,2,340,220,12555
AL,35033,3,210,180,12934
AL,35033,4,140,140,11960
AL,35033,5,130,130,18051
AL,35033,6,20,0,11714
AL,35034,1,730,650,10007
AL,35034,2,380,360,13645
AL,35034,3,150,130,8999
AL,35034,4,80,50,6691
AL,35034,5,90,60,15747
AL,35034,6,0,0,0
AL,35035,1,230,140,2845
AL,35035,2,130,100,4673
AL,35035,3,90,60,5323
AL,35035,4,40,30,3152
AL,35035,5,70,60,20482
AL,35035,6,0,0,0
AL,35040,1,2320,1380,30848
AL,35040,2,1970,1480,74029
AL,35040,3,1370,1090,84520
AL,35040,4,800,790,70265
AL,35040,5,680,710,87106
AL,35040,6,60,40,29680
AL,35042,1,940,680,12573
AL,35042,2,580,490,20665
AL,35042,3,300,250,18704
AL,35042,4,190,190,16469
AL,35042,5,190,220,23800
AL,35042,6,20,0,6272
AL,35043,1,1200,350,13241
AL,35043,2,770,500,28874
AL,35043,3,650,540,41130
AL,35043,4,650,700,57708
AL,35043,5,1140,1390,153752
AL,35043,6,210,260,72627
AL,35044,1,1510,1020,19180
AL,35044,2,790,600,28217
AL,35044,3,420,330,25871
AL,35044,4,250,190,21831
AL,35044,5,190,140,25049
AL,35044,6,30,30,8207
AL,35045,1,2520,1800,33205
AL,35045,2,1420,1320,51200
AL,35045,3,750,610,46298
AL,35045,4,430,360,37218
AL,35045,5,420,410,53694
AL,35045,6,60,40,27525
AL,35046,1,960,520,12548
AL,35046,2,610,450,22339
AL,35046,3,350,310,21803
AL,35046,4,230,180,20211
AL,35046,5,240,180,31329
AL,35046,6,40,20,16733
AL,35049,1,540,280,7042
AL,35049,2,400,320,14768
AL,35049,3,250,230,15276
AL,35049,4,170,170,14504
AL,35049,5,150,140,20732
AL,35049,6,0,0,0
AL,35051,1,1360,690,17263
AL,35051,2,790,660,28443
AL,35051,3,430,400,26774
AL,35051,4,320,290,27748
AL,35051,5,390,360,52383
AL,35051,6,100,100,42980
AL,35053,1,330,150,4148
