STORE_NUMBER,CITY,STATE,ZIPCODE,LONG,LAT
3513-125945,Anchorage,AK,99504,-149.78,61.21
74352-84449,Anchorage,AK,99507,-149.84,61.14
12449-152385,Anchorage,AK,99515,-149.85,61.11
24936-233524,Anchorage,AK,99515,-149.89,61.13
8973-85630,Anchorage,AK,99515,-149.86,61.14
72788-84447,Anchorage,AK,99508,-149.87,61.19
79549-106150,Anchorage,AK,99508,-149.82,61.22
75988-107245,Anchorage,AK,99502,-149.98,61.18
11426-99254,Anchorage,AK,99503,-149.88,61.18
20349-108249,Anchorage,AK,99504,-149.74,61.21
74266-52019,Anchorage,AK,99504,-149.74,61.2
72727-61659,Anchorage,AK,99507,-149.84,61.14
76943-129964,Anchorage,AK,99504,-149.74,61.23
72784-33081,Anchorage,AK,99515,-149.92,61.14
9622-85633,Anchorage,AK,99507,-149.84,61.18
75323-100264,Anchorage,AK,99506,-149.75,61.23
79664-81037,Anchorage,AK,99502,-149.96,61.14
28191-249962,Anchorage,AK,99501,-149.89,61.22
3774-145044,Anchorage,AK,99515,-149.88,61.13
28028-249124,Anchorage,AK,99502,-149.95,61.15
75697-94324,Anchorage,AK,99502,-149.98,61.17
74430-51979,Anchorage,AK,99517,-149.92,61.19
17941-159568,Anchorage,AK,99504,-149.74,61.23
19819-178265,Anchorage,AK,99501,-149.89,61.22
74265-64199,Eagle River,AK,99577,-149.57,61.32
10126-97747,Eagle River,AK,99577,-149.57,61.33
72772-78880,Eagle River,AK,99577,-149.55,61.35
79719-100712,Fairbanks,AK,99709,-147.81,64.84
74452-94707,Fairbanks,AK,99701,-147.7,64.85
72709-33079,Fairbanks,AK,99709,-147.82,64.84
27150-246609,Fairbanks,AK,99709,-147.87,64.82
72975-95761,Fairbanks,AK,99701,-147.69,64.85
75471-106357,Fort Richardson,AK,99505,-149.68,61.26
70386-135644,Fort Wainwright,AK,99703,-147.65,64.83
74917-98110,Homer,AK,99603,-151.54,59.64
74283-69901,Juneau,AK,99801,-134.55,58.36
79324-94693,Juneau,AK,99801,-134.56,58.36
74640-93401,Ketchikan,AK,99901,-131.67,55.35
74474-94708,Kodiak,AK,99615,-152.37,57.81
25843-94709,North Pole,AK,99705,-147.35,64.76
15313-159926,Palmer,AK,99645,-149.13,61.6
72980-94694,Palmer,AK,99645,-149.12,61.6
74706-97007,Seward,AK,99664,-149.43,60.13
72946-94692,Soldotna,AK,99669,-151.05,60.49
74695-94706,Soldotna,AK,99669,-151.07,60.48
17912-136436,Wasilla,AK,99654,-149.41,61.58
4146-104969,Wasilla,AK,99654,-149.44,61.58
76916-131305,Wasilla,AK,99654,-149.41,61.58
72773-82040,Wasilla,AK,99654,-149.41,61.58
76795-96265,Alabaster,AL,35007,-86.81,33.23
13210-95453,Alabaster,AL,35007,-86.8,33.22
10796-102254,Alabaster,AL,35007,-86.83,33.21
10248-100069,Athens,AL,35611,-86.95,34.78
47255-121766,Auburn,AL,36830,-85.46,32.61
22803-218127,Auburn,AL,36849,-85.48,32.61
78065-105597,Auburn,AL,36849,-85.49,32.6
76912-128666,Bessemer,AL,35022,-86.93,33.33
72614-22325,Birmingham,AL,35242,-86.71,33.43
13779-108621,Birmingham,AL,35210,-86.72,33.53
24427-237908,Birmingham,AL,35233,-86.8,33.51
18675-189964,Birmingham,AL,35212,-86.75,33.56
11083-104088,Birmingham,AL,35209,-86.83,33.45
3478-92800,Birmingham,AL,35242,-86.67,33.42
78059-106248,Birmingham,AL,35209,-86.78,33.46
25845-235684,Birmingham,AL,35233,-86.81,33.5
